,User,Country,What is stopping you from making a booking?,Hotel,Date,Day,Hour
253,eb73b417,Malaysia,"Hi, may i know if i book club10 room can i access to Jacuzzi ?",ABKK,2023-09-04,Monday,09:00:00 AM
254,00000000,Spain,Price,ABKK,2023-08-30,Wednesday,02:00:00 PM
255,c9b3dc72,Spain,I need to put my Member's Rate Only number,ABKK,2023-08-28,Monday,06:00:00 PM
256,c981b0f7,Germany,how much are Taxes & Fees?,ABKK,2023-08-27,Sunday,07:00:00 PM
257,35ec6474,Belgium,Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,ABKK,2023-08-26,Saturday,08:00:00 PM
258,734e7ab7,United States,agoda web site is $92 for a delux,ABKK,2023-08-26,Saturday,12:00:00 AM
259,66b489a0,Germany,kann ich dann auch sicher am 31.12 bei ihnen in die Rooftop Bar?,ABKK,2023-08-25,Friday,09:00:00 AM
260,92cba2ae,Spain,too expensive,ABKK,2023-08-23,Wednesday,08:00:00 PM
261,cf35c74a,India,?,ABKK,2023-08-23,Wednesday,12:00:00 PM
262,ad49f64e,United Kingdom,do you offer corporate rates please,ABKK,2023-08-22,Tuesday,10:00:00 AM
263,9feab8cc,Italy,"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",ABKK,2023-08-21,Monday,03:00:00 PM
264,c0e1f616,Russia,подскажите конечная цена на номер делюкс 23.01.2024 по 25.01.2024 2 взрослых человека 1 ребенок 4 года,ABKK,2023-08-16,Wednesday,03:00:00 AM
265,f284a463,Canada,is there breakfast,ABKK,2023-08-15,Tuesday,09:00:00 PM
266,5e081e27,United States,hidden fees,ABKK,2023-08-07,Monday,01:00:00 AM
267,e2241ba4,Germany,price,ABKK,2023-08-05,Saturday,09:00:00 AM
268,f063cf23,Netherlands,How do I receive a meber rate?,ABKK,2023-08-02,Wednesday,01:00:00 PM
269,49494c28,Thailand,Can I make make booking first and pay later?,ABKK,2023-07-31,Monday,03:00:00 AM
270,dd1da24f,Australia,The website won't complete the reservation,ABKK,2023-07-26,Wednesday,05:00:00 AM
271,8da07ed0,Italy,do you offer an airport shuttle ? How long is the ride ?,ABKK,2023-07-24,Monday,06:00:00 PM
272,5f096a0c,Germany,looking for price for breakfast,ABKK,2023-07-24,Monday,12:00:00 PM
273,6a2f4f6a,Germany,price,ABKK,2023-07-20,Thursday,01:00:00 PM
274,aec70a63,South Korea,"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",ABKK,2023-07-20,Thursday,08:00:00 AM
275,9c77576b,United States,no bathtub in the Executive room?,ABKK,2023-07-19,Wednesday,01:00:00 AM
276,3145f7e5,Poland,"Hi, I was wondering if there is a possibility for later check out than 12:00 PM, I am talking about paying for staying for example till 8:00 PM, because my flight departs at 11:45 PM",ABKK,2023-07-16,Sunday,12:00:00 PM
277,2276ccea,Australia,I want to know if twin bed is 2xdoubles or 2xsingles,ABKK,2023-07-16,Sunday,10:00:00 AM
278,84e6cc36,United States,Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,ABKK,2023-07-14,Friday,09:00:00 PM
279,9ca0dea3,United Kingdom,iam struggling to book 3 rooms for next year 29th March 2024 to 31st March 2024 for 5 people,ABKK,2023-07-11,Tuesday,03:00:00 PM
280,57867b01,Poland,"Hello
Is it possible to early check in? We will come to Bangkok about 7 am",ABKK,2023-07-10,Monday,05:00:00 PM
281,9bd0fb8c,Germany,hey,ABKK,2023-07-08,Saturday,11:00:00 AM
282,aea1c772,Singapore,hi\,ABKK,2023-07-07,Friday,07:00:00 AM
283,3e3a48fb,Belgium,Do you allow pets?,ABKK,2023-07-06,Thursday,11:00:00 PM
284,0bf3354f,Germany,no connection,ABKK,2023-07-05,Wednesday,03:00:00 PM
285,67463c6c,United Kingdom,Your website isn't working.,ABKK,2023-06-17,Saturday,04:00:00 PM
286,bd2a44fb,Germany,huhu,ABKK,2023-06-06,Tuesday,02:00:00 PM
287,7a6b1113,Germany,I have one question concerning the club room: The breakfast will also served on the club tag floor?,ABKK,2023-05-29,Monday,09:00:00 AM
288,6e667e11,Singapore,"Hey 
How long the pool is opening?",ABKK,2023-05-24,Wednesday,06:00:00 AM
289,379616e6,United States,is there a promo code I can use,ABKK,2023-05-23,Tuesday,02:00:00 AM
290,0fce983e,Austria,"Hi, 
We made a reservation through PEPXpress from June 2 - 4, 2023 on the name of Dina Simulevski.",ABKK,2023-05-17,Wednesday,08:00:00 AM
291,8ee23f20,Italy,c'è la piscina,ABKK,2023-05-12,Friday,09:00:00 AM
292,f562a595,United States,I dont know what club benefits are,ABKK,2023-05-03,Wednesday,10:00:00 PM
293,7682f56d,United States,Hello. I will be arriving in Bangkok at 1am on 13th of May. Would I be able to check in at that very early hour?,ABKK,2023-05-03,Wednesday,04:00:00 PM
294,826f3171,United States,how much is THB 3188 in US dolars?,ABKK,2023-05-02,Tuesday,03:00:00 AM
295,e3ea1e42,Albania,"Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",ABKK,2023-04-30,Sunday,12:00:00 PM
296,c3892c49,Brazil,valor da diária,ABKK,2023-04-27,Thursday,10:00:00 PM
297,4ea45abf,Thailand,สวัสดี ค่ะ Executive Room กับ  Club Room แตกต่างกันอย่างไรคะ,ABKK,2023-04-17,Monday,06:00:00 AM
298,ddc35bca,Sweden,Please explain what club benefits includes,ABKK,2023-04-13,Thursday,06:00:00 PM
299,c37b9f04,Belgium,sadm,ABKK,2023-04-07,Friday,09:00:00 PM
300,24007e5d,Czechia,adsd,ABKK,2023-04-07,Friday,08:00:00 PM
301,15623f75,Czechia,good morning,ABKK,2023-04-07,Friday,07:00:00 PM
302,5ebf3c5c,Germany,looking for honney moon,ABKK,2023-04-02,Sunday,07:00:00 PM
303,ed28549c,Germany,I only want to book. Not to get a member.,ABKK,2023-04-01,Saturday,12:00:00 PM
304,8eb1c52a,Thailand,"As a customer, sometime I see only 1 price and I don't know how I can open or see more rates",ABKK,2023-03-31,Friday,06:00:00 AM
305,3c4191e4,United States,not clear on how to apply the offers in the offer tab,ABKK,2023-03-28,Tuesday,02:00:00 AM
306,d26b137a,Taiwan,Hi I wanna know what's different of these types booking room?,ABKK,2023-03-20,Monday,12:00:00 PM
307,e1a0a6ad,Singapore,no room,ABKK,2023-03-19,Sunday,02:00:00 PM
308,aa03dfdb,Singapore,too pricey,ABKK,2023-03-19,Sunday,06:00:00 AM
